id_conductor,nombre,celular,masculino,edad,experiencia,antiguedad,salario_base,distancia_recorrida,num_viajes,bono_mensual,zona_riesgo,tiene_dependientes,viaje_urbano,descanso_suficiente,nivel_estudios,viajes_cancelados,espera_excesiva,problemas_pago,quejas_previas,categoria,queja,probabilidad
089b1cc8-da1f-409d-8cd5-e8b6ed473fde,Alfonso Querol Morcillo,+34 927670350,0,58,3,2,7941,3270,6,0,1,1,1,1,1,0,0,0,0,recursos humanos,demasiado trabajo y poca compensación,4
0918aabc-8155-4309-b8f6-9ff2661471e5,Leopoldo Galvez Blazquez,+34 975604841,0,39,13,6,8865,6370,26,0,1,1,0,1,1,0,0,0,0,finanzas,No hay pagos de bonos.,3
108bca7e-696b-4ac1-abdb-4d4890357db8,Pánfilo Lopez Coello,+34 924 53 19 99,0,50,10,0,7666,9618,14,7893.89786940028,1,1,1,1,1,0,0,1,0,finanzas,Problemas de pago recurrentes,5
af7fd0c0-d1b7-4fa7-974b-21d24efc5917,Salvador Castelló,+34 888 930 368,0,48,1,1,7652,14053,23,8834.26836399943,1,1,1,1,2,0,0,0,0,operaciones,Exceso de viajes cancelados,3
eb6c3f09-125e-46de-8f31-d9d0e6572b25,Venceslás de Maestre,+34877698389,0,38,10,10,7633,7184,8,0,1,1,1,1,2,0,1,0,0,operaciones,Largos tiempos de espera,3
9ee31351-88bb-46df-ba03-8bf635e23244,Reynaldo Almagro Benavides,+34901 52 88 44,0,32,11,3,9226,1500,15,888.955925941629,1,1,0,1,1,0,0,0,0,operaciones,exceso de trabajo,4
1aaf8f05-2736-4eb3-bc57-67ced0272cfd,Ambrosio Estrada Valcárcel,+34922889099,0,48,16,11,10241,12144,33,7897.23985081925,0,1,1,0,1,0,1,0,1,operaciones,exceso de trabajo,5
4e1becb6-7e4e-4437-a546-32e2f83d140b,Albano Abascal,+34 826438005,0,35,8,2,8323,9232,16,5470.97352818827,1,1,1,1,3,0,0,0,0,finanzas,Salarios bajos y pagos irregulares,4
03d7f65d-dc58-44b6-92b2-0cac554a7eec,Ramón Carpio-Adán,+34837094522,0,43,14,3,8397,26524,38,0,1,1,1,1,1,0,1,0,0,recursos humanos,exceso de trabajo,4
59a7f8cd-82ce-41c0-a266-a534a73f6531,Lalo Teruel Royo,+34 956399491,0,31,11,0,7444,8448,16,6023.59280776615,1,1,1,1,2,0,0,0,2,finanzas,Bajo salario,3
44feae4f-96d4-4126-883a-1adee5a92187,Mariano Espada Ramirez,+34823437997,0,32,10,0,7916,20784,24,19602.2927704791,1,1,1,1,3,0,0,0,1,recursos humanos,exceso de trabajo,4
b583bc95-1921-4f07-80f1-6f7804b66fcf,Zacarías Bravo,+34886 667 256,0,47,13,13,8076,8742,31,6179.72996296668,1,1,1,0,1,0,1,0,0,operaciones,Tiempo de espera excesivo,4
5287610c-1197-424c-88c4-03d3846d07be,Lázaro Toledo Bernat,+34973171579,0,42,4,3,6149,6084,12,4257.36321671637,1,0,1,1,2,1,1,0,0,operaciones,exceso de trabajo,4
4b143270-0d0f-4a16-a6a3-2a5fdb4fa3e9,Javi Carrión Carmona,+34 880170797,0,41,8,5,8545,24543,27,18103.3040226073,1,1,1,1,1,0,0,1,0,finanzas,No recibí mi bono mensual,4
3554450c-446f-48f5-a515-e7c41872937b,Manuel Álvarez Torralba,+34 880 99 04 07,0,48,24,13,7004,14091,21,9478.89044277856,1,0,1,1,1,0,0,0,0,finanzas,No se ha recibido el bono correspondiente.,5
eddd73df-f572-40c5-a41b-2db38979a30f,Espiridión Valbuena Alsina,+34 822589326,0,45,6,1,9828,4785,15,3927.4589131585,1,1,1,0,1,0,1,0,1,finanzas,No me han pagado a tiempo.,4
4f88b722-9c6d-4b9a-9e8e-a9747352ce43,Marcial Vendrell Mendizábal,+34820 34 18 87,0,35,14,6,7048,19600,28,12593.2226542901,1,1,1,1,2,0,1,1,2,recursos humanos,exceso de trabajo,4
ea930318-f9d0-4443-b0d5-9751685af30e,Juan Manuel Moreno Grau Jordá,+34 645 51 29 70,0,53,4,3,7919,17343,47,0,1,1,1,1,2,0,0,0,0,operaciones,exceso de trabajo,3
2dd81294-83aa-42cc-a9c2-adb6f70c89d5,Joan Salcedo Hernandez,+34955 89 64 75,0,48,9,6,7304,3317,31,1600.83183068127,1,1,0,1,1,0,0,0,0,finanzas,Salario muy bajo para el trabajo que realizo.,4
6b48262d-368c-4ddd-a843-43943323edf7,Modesto Fortuny Tamarit,+34864310736,0,42,8,4,6962,5852,7,0,1,1,1,1,1,0,0,0,0,operaciones,tiempo de espera excesivo,3
f9a35ec7-9bde-407e-b890-ea713e803020,Albert Tudela-Pomares,+34819 797 536,0,39,8,3,7727,4116,6,1834.69660328333,1,1,1,1,2,0,0,0,0,recursos humanos,exceso de trabajo,4
a5f733f0-4b1a-4e2f-baea-d581b2483b72,Pío Castilla Sevilla,+34 822 106 471,0,35,5,5,8985,16796,19,10761.2939516979,1,0,1,0,1,0,0,0,1,operaciones,Exceso de viajes cancelados,4
6ceeb5c2-06e2-494b-8356-47bdc2f6972a,Jesús Remigio Baró Peña,+34 847205191,0,23,1,0,7156,3600,9,0,1,1,1,1,1,0,0,0,0,finanzas,Problemas de pago,3
628c50fc-4bec-4582-8bbb-73a70a958101,Clímaco Conesa Sevillano,+34800 05 00 09,0,34,1,0,8250,12869,17,0,1,1,1,1,2,0,1,0,1,operaciones,Excesivo tiempo de espera,4
6078fd47-2bf9-4103-bef6-0392f8f9938f,Gaspar de Bartolomé,+34 984 685 196,0,38,1,0,9444,17850,30,11934.4794601723,1,1,1,1,2,0,0,1,0,finanzas,Problemas recurrentes en mis pagos,5
e2a5d0a2-3809-43c2-bf37-c18556e9aabd,Mateo de Carro,+34983 98 54 17,0,37,0,0,8207,6360,12,0,1,1,1,1,0,0,0,0,1,operaciones,Exceso de trabajo,4
5599faf3-4691-4a18-99b4-50f3fcb3369b,Rómulo de Capdevila,+34969 505 111,0,31,4,4,7727,1284,2,881.060207075187,1,1,1,0,1,0,0,0,0,finanzas,No recibí mi bono,3
8715560b-d53f-4b55-9eb1-c51f30822999,Baltasar Juárez Colom,+34 946 704 973,0,42,2,0,8692,10538,11,6730.80197220244,0,1,1,1,3,0,0,0,0,operaciones,exceso de tiempo de espera,5
19abafa9-9ba6-4179-a739-8d0641e6ef3d,Rómulo Luís Carranza,+34813 39 18 68,0,39,3,3,7273,12053,17,8540.23742271259,1,1,1,1,2,0,0,0,3,recursos humanos,exceso de trabajo,4
ea841a38-1b68-4eef-8368-be0a2dfc8928,Cipriano de Lillo,+34 987 68 04 23,0,53,14,1,9461,455,1,286.566084556372,1,0,1,0,0,0,0,0,1,finanzas,Pagos retrasados otra vez,4
3ddb0f6a-753f-495e-9c47-459f85b95c4f,Alonso Ramis Cantero,+34 923 93 73 60,0,33,9,7,6812,12684,14,12562.6368151217,1,1,1,0,2,0,0,0,1,finanzas,Bono por desempeño inexistente,3
9595e6d9-a0c3-47ba-bc62-3b387fdb70be,Marco José Ángel Vélez Luque,+34938359857,0,42,9,2,8675,4005,15,2119.84248116886,1,0,1,1,1,1,0,0,2,recursos humanos,Exceso de viajes cancelados,4
27340839-54ab-4231-9e82-4b0924921c52,Jerónimo Almeida Mendoza,+34 806801317,0,47,10,5,7209,6790,14,4923.21017179443,1,1,1,1,1,1,1,0,1,operaciones,exceso de trabajo,4
20011c56-6fdd-491e-9433-cab85e1139f6,Sergio Guzmán Catalán,+34949494037,0,32,2,1,9378,12480,32,9644.73920379377,0,1,1,1,2,0,0,0,0,finanzas,No he recibido mi bono,5
170f05ca-7170-4bb6-a186-3bab29686824,Cruz Requena-Osorio,+34 979 164 764,0,61,17,15,8762,18480,24,0,1,1,1,0,3,1,1,0,0,operaciones,exceso de trabajo,4
7764c75b-4f62-4d4b-a485-95fe713a728d,Gabino del Bayo,+34942 93 54 31,0,52,3,3,8338,2400,4,1916.69482170222,0,1,1,1,1,0,0,1,0,finanzas,Problemas de pago,4
e35681f6-e02e-4941-b2da-fc536c0a09d6,Sebastián Miralles,+34 806 55 70 88,0,49,17,15,6698,1512,18,1011.57289469659,1,1,0,0,2,0,0,0,1,operaciones,Demasiados viajes programados,5
e31a4047-4da2-4317-95e9-a7b5a83be49c,Gabriel Rogelio Cáceres Sanabria,+34849736577,0,32,8,2,7872,7130,10,4298.86392466757,1,1,1,1,2,0,1,0,0,recursos humanos,exceso de tiempo de espera,4
40919bbb-c283-4763-aa54-32777c517f7a,Águeda Ofelia Gallart Sabater,+34 974 13 27 45,1,32,7,3,8342,9090,10,5239.80567706337,1,1,1,0,1,0,0,0,0,finanzas,Dificultades en el recibo de pagos.,4
b4ec38a5-2e3e-4e73-9438-72bc19dc56f6,Albano Barral Cerro,+34 932 437 513,0,48,4,1,7869,10149,17,7811.34734938995,1,1,1,0,2,0,0,0,0,operaciones,Demasiados viajes programados,4
d7188d02-449c-4c58-8064-d9ef4209d831,Javi Lozano Vilaplana,+34 803030411,0,32,6,1,6230,7448,19,5883.87556987333,1,1,1,1,3,0,0,0,0,recursos humanos,Exceso de trabajo,4
16d90748-e32c-46e9-81bc-060aeea418b0,Fabio Querol Blázquez,+34 825 607 246,0,44,17,12,9810,9656,17,5383.98544176453,1,1,1,0,2,0,0,0,1,operaciones,tiempos de espera excesivos,4
0347941f-e0eb-4a3c-98fe-282aabf8d839,Anacleto Serrano Peña,+34 807 19 21 37,0,49,10,9,8359,10016,16,8299.28234232371,1,0,1,1,2,0,0,1,0,finanzas,Problemas de pago frecuentes,4
0a6e319e-cb04-4f00-a9f6-3e736d23aa82,Artemio Baños Ribes,+34 920 328 138,0,49,5,1,7623,17824,32,13350.7184458475,1,0,1,1,2,1,0,1,0,finanzas,Problemas de pago recurrentes,4
b4d6f04d-6a2b-40a3-9a1d-021e599a27aa,Salvador Toro-Amat,+34 803 489 083,0,41,3,2,6261,9612,18,8299.35382020954,1,1,1,1,2,0,0,0,1,recursos humanos,exceso de trabajo,4
976894af-e06e-4600-ba57-d571f3ad82cb,Leoncio Santana Barceló,+34 884 663 560,0,61,8,3,7289,8112,12,5722.75684431409,0,1,1,0,1,0,0,0,0,recursos humanos,exceso de trabajo,4
7a3c4db7-f9e2-401f-99d6-2bfe8813ea89,Calixto Eliseo Báez Pizarro,+34 844 72 48 24,0,45,16,15,8856,4480,14,3898.62337274296,1,1,1,1,1,0,0,0,1,finanzas,Problemas de pago,4
b075d58f-177d-423d-8d3f-21650a1d982f,Clímaco del Iniesta,+34 943928728,0,46,6,5,7555,7033,13,5173.37853441442,0,1,1,1,1,0,1,1,0,operaciones,largos tiempos de espera,4
2d9a2ec7-71fc-4023-8611-83ce622ab149,Eric Gonzalo-Ibarra,+34867122211,0,41,16,6,7499,14624,32,11292.0485398577,1,1,1,1,2,1,0,0,3,finanzas,Tardanza en el pago del bono,5
1876fefa-b095-4019-94b3-8e522a920826,Edgardo Castro Ibañez,+34718315875,0,28,5,5,7074,15945,15,12368.986620553,0,1,1,1,2,0,0,0,0,finanzas,Retrasos en el pago de salarios,2
1ec3ca56-6848-4136-8e9a-70788ea8292c,Noé Pizarro-Jáuregui,+34948 31 22 33,0,47,6,3,8732,13300,14,9078.39022909929,1,1,1,0,0,1,0,0,2,operaciones,viajes cancelados,4
181a0210-e187-4f92-86c7-1f75ab866db6,Maricela Natividad Sala Blanch,+34941 350 136,1,42,21,18,10245,9982,31,7190.46644960295,0,1,1,1,1,0,0,0,0,operaciones,exceso de trabajo,4
4905cdca-3332-4719-96bb-2596aaa47e29,Enrique Guillén Parejo,+34848545645,0,39,2,2,7431,1729,13,831.815165600405,0,1,0,1,1,1,0,0,0,recursos humanos,exceso de carga de trabajo,4
bfbe4b9a-bef2-453f-be00-52c51f780c08,Primitivo Yáñez Revilla,+34 901364909,0,35,5,0,7473,10736,22,0,1,1,1,1,1,0,0,1,1,finanzas,Problemas de pago,4
b8ccb71a-71e0-43e4-bcac-ae13b3675480,Inocencio Bayo,+34823440853,0,46,24,14,7607,16224,24,11900.5664725181,1,1,1,1,2,0,0,0,1,finanzas,Problemas de pago frecuentes,5
bd2d425f-1ef0-4df5-be67-6d15fff6e714,Silvestre Haro Galan,+34 847923741,0,26,2,0,8011,17388,23,11774.2011718427,1,0,1,1,2,0,0,0,0,recursos humanos,Problemas con el pago,3
e4cbee34-37cb-4585-80d3-3496c341b101,Gregorio Pozuelo Aranda,+34971 869 889,0,30,11,8,7094,13234,26,0,1,1,1,1,2,0,0,1,1,finanzas,Problemas de pago constantes,4
6a439014-da26-4968-9eb4-62ca08b2fc68,David Ferrándiz Arcos,+34901 869 307,0,31,8,4,7686,1686,6,0,1,1,1,1,3,0,0,0,3,recursos humanos,exceso de quejas previas,4
fac6fc76-17f4-455e-b28a-58352fbba303,Román Alarcón Ángel,+34921136120,0,25,4,2,8285,780,10,633.024251520954,1,1,0,1,0,0,0,0,0,operaciones,Exceso de tiempo de espera.,4
9dc8e5c4-d4d3-4b58-9f15-894114a047a6,Valero Ledesma Río,+34 849 989 163,0,30,6,3,8254,4148,17,0,0,1,0,0,2,0,0,1,0,finanzas,Problemas de pago reiterados,4
4af32c5a-c385-4f37-a062-e1af6cdaf9f7,Agustín Calatayud Bravo,+34988 36 95 16,0,47,20,4,6317,296,4,0,1,1,0,1,2,1,0,0,3,operaciones,viajes cancelados,4
